gene,inMod
ENSDARG00000013000,0
ENSDARG00000055360,0
ENSDARG00000012729,0
ENSDARG00000061951,0
ENSDARG00000010454,0
ENSDARG00000021579,0
ENSDARG00000007523,0
ENSDARG00000045490,0
ENSDARG00000018111,0
ENSDARG00000032639,0
ENSDARG00000021647,0
ENSDARG00000016010,0
ENSDARG00000021590,0
ENSDARG00000045493,0
ENSDARG00000094023,0
ENSDARG00000033443,0
ENSDARG00000076044,0
ENSDARG00000062013,0
ENSDARG00000011769,0
ENSDARG00000022187,0
ENSDARG00000002131,0
ENSDARG00000016526,0
ENSDARG00000045513,0
ENSDARG00000045514,0
ENSDARG00000045515,0
ENSDARG00000045516,0
ENSDARG00000045517,1
ENSDARG00000045518,0
ENSDARG00000045519,0
ENSDARG00000001953,0
ENSDARG00000031346,0
ENSDARG00000045522,0
ENSDARG00000045524,0
ENSDARG00000045525,0
ENSDARG00000045527,0
ENSDARG00000045528,0
ENSDARG00000075215,0
ENSDARG00000069261,0
ENSDARG00000089861,0
ENSDARG00000089908,0
ENSDARG00000032627,0
ENSDARG00000045530,0
ENSDARG00000097326,0
ENSDARG00000098221,0
ENSDARG00000078749,0
ENSDARG00000099850,0
ENSDARG00000041205,0
ENSDARG00000029071,0
ENSDARG00000041199,0
ENSDARG00000024306,0
ENSDARG00000013596,0
ENSDARG00000045510,0
ENSDARG00000069169,0
ENSDARG00000069171,0
ENSDARG00000069185,0
ENSDARG00000043734,0
ENSDARG00000096045,0
ENSDARG00000014941,0
ENSDARG00000053917,0
ENSDARG00000096034,0
ENSDARG00000077488,0
ENSDARG00000104584,0
ENSDARG00000104281,0
ENSDARG00000074009,0
ENSDARG00000101782,0
ENSDARG00000101395,0
ENSDARG00000096684,0
ENSDARG00000104041,0
ENSDARG00000101105,0
ENSDARG00000076054,0
ENSDARG00000088082,0
ENSDARG00000104762,0
ENSDARG00000104750,0
ENSDARG00000093831,0
ENSDARG00000094147,0
ENSDARG00000101091,0
ENSDARG00000092968,0
ENSDARG00000088870,0
ENSDARG00000089582,0
ENSDARG00000101460,0
ENSDARG00000099837,0
ENSDARG00000103471,0
ENSDARG00000102799,0
ENSDARG00000101149,0
ENSDARG00000104586,0
ENSDARG00000101278,0
ENSDARG00000101775,0
ENSDARG00000104604,0
ENSDARG00000101374,0
ENSDARG00000103741,0
ENSDARG00000099699,0
ENSDARG00000102771,0
ENSDARG00000100479,0
ENSDARG00000099681,0
ENSDARG00000101103,0
ENSDARG00000103143,0
ENSDARG00000104412,0
ENSDARG00000101962,0
ENSDARG00000102008,0
ENSDARG00000103879,0
ENSDARG00000075731,0
ENSDARG00000100277,0
ENSDARG00000095293,0
ENSDARG00000090220,0
ENSDARG00000089814,0
ENSDARG00000098607,0
ENSDARG00000095997,0
ENSDARG00000094484,0
ENSDARG00000094308,0
ENSDARG00000095521,0
ENSDARG00000091013,0
ENSDARG00000086182,0
ENSDARG00000100350,0
ENSDARG00000105017,0
ENSDARG00000101418,0
ENSDARG00000103008,0
ENSDARG00000102716,0
ENSDARG00000102561,0
ENSDARG00000101459,0
ENSDARG00000103708,0
ENSDARG00000104852,0
ENSDARG00000099795,0
ENSDARG00000099493,0
ENSDARG00000099585,0
ENSDARG00000092938,0
ENSDARG00000100961,0
ENSDARG00000103189,0
ENSDARG00000098677,0
ENSDARG00000101463,0
ENSDARG00000101623,0
ENSDARG00000098447,0
ENSDARG00000103473,0
ENSDARG00000100896,0
ENSDARG00000098179,0
