kegg	gene
dre00230	140426
dre00230	140620
dre00230	140622
dre00230	192305
dre00230	192320
dre00230	30083
dre00230	30084
dre00230	30085
dre00230	30086
dre00230	30440
dre00230	30733
dre00230	30740
dre00230	317740
dre00230	317745
dre00230	321193
dre00230	321720
dre00230	321793
dre00230	322059
dre00230	322229
dre00230	324088
dre00230	324845
dre00230	325603
dre00230	327078
dre00230	333997
dre00230	334431
dre00230	334669
dre00230	335716
dre00230	335817
dre00230	336518
dre00230	338306
dre00230	368220
dre00230	368410
dre00230	373884
dre00230	393201
dre00230	393257
dre00230	393393
dre00230	393538
dre00230	393559
dre00230	393641
dre00230	393697
dre00230	393713
dre00230	393774
dre00230	393845
dre00230	393867
dre00230	393906
dre00230	394000
dre00230	394077
dre00230	394162
dre00230	394170
dre00230	402856
dre00230	402953
dre00230	405822
dre00230	406259
dre00230	406404
dre00230	406558
dre00230	406590
dre00230	406661
dre00230	407653
dre00230	407989
dre00230	415176
dre00230	415208
dre00230	415216
dre00230	431724
dre00230	436588
dre00230	436595
dre00230	436604
dre00230	436652
dre00230	436692
dre00230	436749
dre00230	436817
dre00230	436826
dre00230	436919
dre00230	436981
dre00230	436989
dre00230	445069
dre00230	445094
dre00230	445151
dre00230	445170
dre00230	445201
dre00230	445412
dre00230	445486
dre00230	447905
dre00230	449786
dre00230	449987
dre00230	449992
dre00230	474325
dre00230	494056
dre00230	504040
dre00230	541428
dre00230	541538
dre00230	550263
dre00230	550420
dre00230	550502
dre00230	550533
dre00230	550560
dre00230	550586
dre00230	553270
dre00230	553347
dre00230	553405
dre00230	553610
dre00230	553639
dre00230	553671
dre00230	553701
dre00230	553705
dre00230	553733
dre00230	554099
dre00230	554700
dre00230	555599
dre00230	555911
dre00230	556456
dre00230	556578
dre00230	556849
dre00230	557026
dre00230	557191
dre00230	557708
dre00230	557735
dre00230	557834
dre00230	557902
dre00230	557972
dre00230	559295
dre00230	559298
dre00230	559332
dre00230	559488
dre00230	560410
dre00230	560486
dre00230	560653
dre00230	560719
dre00230	560807
dre00230	560827
dre00230	561338
dre00230	561683
dre00230	562329
dre00230	562357
dre00230	562399
dre00230	562619
dre00230	562627
dre00230	563343
dre00230	563432
dre00230	563724
dre00230	564389
dre00230	564465
dre00230	565706
dre00230	566998
dre00230	567051
dre00230	568219
dre00230	568726
dre00230	569499
dre00230	570437
dre00230	570474
dre00230	570652
dre00230	571011
dre00230	571355
dre00230	571825
dre00230	571834
dre00230	572027
dre00230	572052
dre00230	572061
dre00230	572258
dre00230	58120
dre00230	58141
dre00230	678545
dre00230	692256
dre00230	751742
dre00230	777719
dre00230	791145
dre00230	791647
dre00230	796456
dre00230	796803
dre00230	798022
dre00230	799449
dre00230	799942
dre00230	80939
dre00232	436604
dre00232	445194
dre00232	449801
dre00232	560486
dre00232	794381
dre00240	100000978
dre00240	100005551
dre00240	100005763
dre00240	100144569
dre00240	100149268
dre00240	100330864
dre00240	100536156
dre00240	100750260
dre00240	103910413
dre00240	192320
dre00240	266992
dre00240	30083
dre00240	30084
dre00240	30085
dre00240	30086
dre00240	30440
dre00240	30733
dre00240	30740
dre00240	317740
dre00240	321720
dre00240	322059
dre00240	322089
dre00240	322660
dre00240	324088
dre00240	324845
dre00240	325603
dre00240	327057
dre00240	327078
dre00240	327590
dre00240	334669
dre00240	335716
dre00240	336518
dre00240	352924
dre00240	393113
dre00240	393143
dre00240	393201
dre00240	393257
dre00240	393538
dre00240	393744
dre00240	393774
dre00240	393906
dre00240	394162
dre00240	394170
dre00240	402856
dre00240	402953
dre00240	402979
dre00240	404623
dre00240	405829
dre00240	406383
dre00240	406558
dre00240	407653
dre00240	436588
dre00240	436595
dre00240	436652
dre00240	436692
dre00240	436749
dre00240	436817
dre00240	436826
dre00240	437016
dre00240	445151
dre00240	445170
dre00240	445201
dre00240	445412
dre00240	447928
dre00240	449786
dre00240	449835
dre00240	449992
dre00240	474325
dre00240	494065
dre00240	503707
dre00240	541428
dre00240	541538
dre00240	550263
dre00240	550332
dre00240	550560
dre00240	553347
dre00240	553405
dre00240	553610
dre00240	553705
dre00240	553733
dre00240	554099
dre00240	556456
dre00240	556849
dre00240	557708
dre00240	557972
dre00240	558466
dre00240	559958
dre00240	561683
dre00240	562329
dre00240	562399
dre00240	562627
dre00240	563597
dre00240	567734
